fips,year,parameter_85101,parameter_88101,parameter_44201,parameter_42602,parameter_42401,parameter_42101
6083,1980,null,null,0.059342,27.398603,2.051546,1.490045
6083,2020,21.854866,8.032041,0.040247,11.206319,0.359551,0.178739
6083,2004,12.691867,7.589655,0.046096,3.879452,0.475825,0.330111
6083,2016,24.604592,7.136602,0.042836,8.731507,0.810959,0.159601
6083,2000,12.10042,9.903774,0.044899,2.043939,0.684103,0.172538
6083,1996,null,null,0.04651,11.837466,0.407058,0.799808
6083,1984,null,null,0.052992,49.130435,0.102473,0.647699
6083,2012,18.938504,7.638359,0.044964,10.778082,1.027322,0.244686
6083,1992,null,null,0.040159,1.510321,0.479079,0.226603
6083,2008,35.990809,10.367797,0.042268,2.391781,0.027945,0.108874
6083,1988,null,null,0.042967,24.997268,0.709836,0.784673
6083,2005,27.961858,10.705769,0.038758,1.426013,0.235813,0.250678
6083,1999,21.85,11.109091,0.044016,4.149584,0.356319,0.306242
6083,1993,null,null,0.058022,2.472128,0.824658,1.406483
6083,1991,null,null,0.041876,9.427652,0.613859,0.150589
6083,2011,21.837901,7.803888,0.04397,2.215901,0.03863,0.16748
6083,2007,33.779011,9.452542,0.043586,0.772953,0.725275,0.100968
6083,2009,28.271163,6.959649,0.039882,3.885603,0.589589,0.089717
6083,1990,null,null,0.047658,5.439227,1.419178,0.437374
6083,2019,16.366566,5.053199,0.037221,5.28039,0.617631,0.159662
6083,2003,11.11456,8.548276,0.048981,18.543956,0.4,0.264586
6083,2010,20.706428,6.768274,0.043282,4.215627,0.654795,0.203537
6083,2001,12.112084,10.401639,0.038488,1.971418,0.446281,0.385378
6083,2015,17.411731,7.751913,0.042197,2.600484,0.113523,0.235435
6083,1998,18.311475,null,0.048669,9.654696,0.865014,0.229956
6083,2006,29.609135,7.538596,0.040058,1.447833,0.075342,0.042229
6083,1997,20.666667,null,0.050753,2.120415,0.398352,0.209677
6083,1995,null,null,0.050138,7.667582,0.11511,0.60927
6083,2021,20.371927,5.842598,0.038607,6.713483,0.212535,0.139863
6083,2013,21.767697,7.610396,0.042797,2.753203,1.975275,0.076732
6083,1981,null,null,0.058083,41.883657,0.047922,1.317763
6083,1982,null,null,0.044135,8.841605,0.034566,1.495219
6083,1983,null,null,0.031621,16.784566,2.422535,0.832894
6083,2002,14.155951,9.566667,0.044574,7.099722,0.146253,0.358708
6083,2018,19.751731,8.627902,0.04354,8.463014,0.158678,0.172861
6083,1985,null,null,0.034254,29.550402,0.163632,0.681189
6083,2017,22.146944,7.305029,0.043909,3.100568,0.041546,0.194166
6083,2014,23.982337,7.832811,0.043614,9.816438,0.030303,0.122702
6083,1989,null,null,0.053391,5.00831,7.106849,0.036305
6083,1986,null,null,0.053984,3.162645,2.011173,1.681035
6083,1994,null,null,0.052166,1.454348,0.948086,0.31868
6083,1987,null,null,0.043663,9.485624,0.571547,0.220855
6083,2022,18.923077,5.203226,0.033903,2.677419,0.0,0.388677
6083,2023,null,null,null,null,null,null
4019,1980,null,null,0.044601,36.193767,79.269337,3.226184
4019,2020,10.256537,5.931645,0.046361,18.966849,0.070541,0.177723
4019,2004,13.93285,5.765896,0.047544,33.827869,3.814208,0.61439
4019,2016,12.852893,4.523218,0.049131,7.623304,0.084275,0.249945
4019,2000,35.994118,6.627473,0.045438,16.254789,2.273754,0.481564
4019,1996,null,null,0.045251,38.014451,1.191236,0.877232
4019,1984,null,null,0.047269,42.261146,57.369863,1.396763
4019,2012,17.227311,5.667561,0.046697,11.173641,0.63022,0.192146
4019,1992,11.670964,null,0.043523,16.349704,4.382682,2.219402
4019,2008,12.263354,5.363559,0.050139,29.759669,0.871858,0.29709
4019,1988,12.890571,null,0.044818,17.471164,3.226667,1.562781
4019,2005,11.659116,6.322393,0.040238,15.243905,0.717808,0.450714
4019,1999,33.25,9.286742,0.047148,18.205274,1.783019,0.758661
4019,1993,9.390769,null,0.051516,38.591176,1.826803,0.332967
4019,1991,14.665728,null,0.052813,38.370588,2.32,1.268524
4019,2011,16.541075,5.765306,0.050225,12.063864,0.283956,0.358832
4019,2007,13.281462,5.668687,0.047077,29.158904,0.930142,0.39829
4019,2009,15.608909,5.464463,0.047712,12.320613,0.502372,0.399748
4019,1990,14.932656,null,0.040665,18.728221,2.172549,1.804459
4019,2019,8.836884,3.06,0.047233,7.264373,0.110205,0.212944
4019,2003,21.72959,6.450143,0.046844,34.997238,1.220822,0.458546
4019,2010,10.586332,5.025,0.052542,11.597859,0.511414,0.25871
4019,2001,13.017842,8.452577,0.044325,34.975207,2.212121,0.878749
4019,2015,14.341726,5.148275,0.046438,8.83273,0.138031,0.234853
4019,1998,28.597458,null,0.054288,36.328729,3.369146,1.198662
4019,2006,18.264227,5.809496,0.054173,31.145604,2.57967,0.418275
4019,1997,null,null,0.05411,17.849729,1.528814,0.932757
4019,1995,null,null,0.0458,20.381336,1.385676,1.939416
4019,2021,10.580647,6.639605,0.052731,7.713947,0.079839,0.181217
4019,2013,11.972709,6.857725,0.049808,22.829863,1.110959,0.134586
4019,1981,null,null,0.047447,37.261675,15.347472,3.50906
4019,1982,null,null,0.051965,20.76353,3.27768,2.552571
4019,1983,null,null,0.048531,43.176101,5.203488,3.238915
4019,2002,12.651549,6.354046,0.039321,16.989666,1.028809,0.82058
4019,2018,10.773906,4.546585,0.044959,8.357265,0.127298,0.186588
4019,1985,null,null,0.049597,37.289474,5.019437,1.437185
4019,2017,12.444112,6.765101,0.049025,20.564384,0.093425,0.237271
4019,2014,16.755036,5.595205,0.046326,22.725753,0.202527,0.389134
4019,1989,16.397066,null,0.046226,46.591093,3.561765,1.961489
4019,1986,null,null,0.053982,43.150685,9.123016,1.426002
4019,1994,null,null,0.053644,42.464986,1.388702,0.442596
4019,1987,null,null,0.047264,44.37234,8.388235,2.102671
4019,2022,null,null,null,null,null,null
4019,2023,null,6.305386,0.045811,24.295556,0.031954,0.310384
4021,1980,null,null,null,null,12.187719,null
4021,2020,null,15.172761,0.050699,null,null,null
4021,2004,12.585543,5.450909,0.050681,4.672897,2.420765,null
4021,2016,null,8.920679,0.053428,null,null,null
4021,2000,null,7.283333,null,null,null,null
4021,1996,null,null,null,null,35.074405,null
4021,1984,null,null,null,null,122.402985,null
4021,2012,14.877486,6.765812,0.045677,null,null,null
4021,1992,null,null,null,null,5.506548,null
4021,2008,14.878072,10.572131,0.051327,null,null,null
4021,1988,null,null,null,null,43.373716,null
4021,2005,14.242666,5.563063,0.050863,2.128343,1.975068,null
4021,1999,null,7.393277,null,null,18.175097,null
4021,1993,null,null,null,null,56.275281,null
4021,1991,null,null,null,null,6.193333,null
4021,2011,17.168273,8.397521,0.051036,null,null,null
4021,2007,15.442879,10.225641,0.051263,null,2.24032,null
4021,2009,12.330436,6.405785,0.04546,null,null,null
4021,1990,null,null,null,null,5.057143,null
4021,2019,null,6.005563,0.054727,null,null,null
4021,2003,18.88287,6.3,0.051559,2.586028,1.39589,null
4021,2010,11.412135,5.889565,0.052478,null,null,null
4021,2001,14.610723,6.288034,0.065388,4.0884,null,null
4021,2015,11.69135,7.824382,0.044104,null,null,null
4021,1998,null,null,null,null,34.82906,null
4021,2006,17.294282,5.295283,0.047711,4.287736,1.977686,null
4021,1997,null,null,null,null,4.850139,null
4021,1995,null,null,null,null,3.398563,null
4021,2021,null,7.808407,0.053948,null,null,null
4021,2013,13.977654,5.506195,0.04366,null,null,null
4021,1981,null,null,null,null,24.978991,null
4021,1982,null,null,null,null,101.070588,null
4021,1983,null,null,null,null,13.846591,null
4021,2002,16.694197,6.390909,0.053516,5.334615,1.46993,null
4021,2018,null,8.533185,0.051515,null,null,null
4021,1985,null,null,null,null,159.591507,null
4021,2017,null,10.081638,0.05065,null,null,null
4021,2014,16.099607,12.693143,0.048765,null,null,null
4021,1989,null,null,null,null,8.186819,null
4021,1986,null,null,null,null,16.615254,null
4021,1994,null,null,null,null,null,null
4021,1987,null,null,null,null,15.517033,null
4021,2022,null,null,0.049044,null,null,null
4021,2023,null,null,0.045711,null,null,null
53033,1980,null,null,0.036954,38.684211,5.891916,2.087421
53033,2020,8.754171,6.303554,0.033522,19.404932,0.725581,0.229947
53033,2004,14.644921,8.535112,0.036533,32.79096,2.939736,1.025891
53033,2016,9.307125,6.53388,0.033421,25.320225,1.318333,0.221277
53033,2000,17.894737,12.784507,0.034784,34.172308,3.103607,1.315663
53033,1996,null,null,0.039486,34.77208,5.630986,1.430778
53033,1984,null,null,0.025379,32.984779,6.401653,1.505094
53033,2012,9.5875,9.787116,0.042046,null,0.961413,0.231049
53033,1992,null,null,0.032304,null,22.312268,1.944486
53033,2008,13.777862,6.62619,0.038836,null,1.305766,0.588609
53033,1988,null,null,0.039179,null,6.687378,1.483838
53033,2005,13.673365,7.9507,0.040052,18.002478,3.490017,0.612058
53033,1999,25.966667,10.244818,0.037288,32.387464,14.915751,1.237007
53033,1993,null,null,0.040078,null,9.448011,1.774406
53033,1991,null,null,0.048435,null,9.536565,2.061002
53033,2011,9.590796,8.521402,0.032908,null,3.775211,0.244219
53033,2007,12.252173,7.171302,0.027914,null,5.107746,0.653461
53033,2009,13.637455,9.255738,0.043327,null,4.95838,0.49884
53033,1990,null,null,0.039348,null,8.814582,1.982253
53033,2019,8.611147,5.266041,0.027638,10.600438,0.756485,0.220122
53033,2003,13.830385,7.94958,0.049771,18.241412,7.369863,0.846693
53033,2010,10.712374,5.775311,0.025327,null,1.14337,0.242187
53033,2001,24.381818,11.432479,0.027523,19.604302,9.300578,1.081796
53033,2015,10.822066,9.359656,0.049184,23.503175,0.826703,0.5607
53033,1998,27.212766,null,0.023336,19.794997,6.060665,1.401028
53033,2006,12.49496,7.927097,0.049209,18.350207,3.88,0.70714
53033,1997,null,null,0.040584,33.91954,5.328412,1.140469
53033,1995,null,null,0.0415,19.18685,6.357143,1.120137
53033,2021,8.575758,7.112225,0.034887,21.038227,0.260784,0.187895
53033,2013,9.655686,7.245676,0.039869,13.303191,0.814056,0.241164
53033,1981,null,null,0.033957,21.856886,8.073596,2.347299
53033,1982,null,null,0.028738,82.845188,14.966841,1.425422
53033,1983,null,null,0.031792,19.96875,3.825772,2.756114
53033,2002,14.222537,11.289106,0.038124,19.078846,8.309589,1.017864
53033,2018,9.731714,9.431272,0.033241,10.654958,0.657759,0.212053
53033,1985,null,null,0.035631,34.371974,8.477326,0.997375
53033,2017,10.782328,7.151506,0.033271,35.664846,0.295956,0.22722
53033,2014,10.180282,5.87863,0.028458,11.548421,0.229947,0.246481
53033,1989,null,null,0.02904,null,18.154728,2.01164
53033,1986,null,null,0.029476,33.896104,7.680781,2.872998
53033,1994,null,null,0.040254,null,7.281769,1.157342
53033,1987,null,null,0.041222,30.0,23.753582,2.34474
53033,2022,6.9,8.216129,0.018161,12.899721,0.239831,0.251822
53033,2023,null,5.164865,0.022613,11.068663,0.365823,0.347903
37131,1980,null,null,null,null,null,null
37131,2020,null,6.352788,null,4.128824,null,null
37131,2004,null,null,null,null,null,null
37131,2016,null,null,null,null,null,null
37131,2000,null,null,0.056042,null,4.008743,null
37131,1996,null,null,null,null,12.777922,null
37131,1984,null,null,null,null,null,null
37131,2012,null,null,null,null,null,null
37131,1992,null,null,null,null,null,null
37131,2008,null,null,null,null,null,null
37131,1988,null,null,null,null,null,null
37131,2005,null,null,null,null,null,null
37131,1999,null,null,0.060313,null,null,null
37131,1993,null,null,null,null,null,null
37131,1991,null,null,null,null,null,null
37131,2011,null,null,null,null,null,null
37131,2007,null,null,null,null,null,null
37131,2009,null,null,null,null,null,null
37131,1990,null,null,null,null,null,null
37131,2019,null,7.978711,null,4.785271,null,null
37131,2003,null,null,0.055039,null,null,null
37131,2010,null,null,null,null,null,null
37131,2001,null,null,0.057533,null,null,null
37131,2015,null,null,null,null,null,null
37131,1998,null,null,0.059349,null,null,null
37131,2006,null,null,null,null,null,null
37131,1997,null,null,0.059304,null,9.495575,null
37131,1995,null,null,0.056505,null,7.717301,null
37131,2021,null,7.18022,null,4.376276,null,null
37131,2013,null,null,null,null,null,null
37131,1981,null,null,null,null,null,null
37131,1982,null,null,null,null,null,null
37131,1983,null,null,null,null,null,null
37131,2002,null,null,0.058321,null,null,null
37131,2018,null,null,null,null,null,null
37131,1985,null,null,null,null,null,null
37131,2017,null,null,null,null,null,null
37131,2014,null,null,null,null,null,null
37131,1989,null,null,null,null,null,null
37131,1986,null,null,null,null,null,null
37131,1994,null,null,null,null,null,null
37131,1987,null,null,null,null,null,null
37131,2022,null,null,null,5.315556,null,null
37131,2023,null,null,null,1.426342,null,null
25013,1980,null,null,0.048723,null,32.566775,2.252176
25013,2020,null,8.60781,0.044939,10.722689,0.440456,0.383556
25013,2004,20.068966,11.957364,0.048878,29.977901,5.509834,0.465491
25013,2016,13.983333,6.267334,0.043649,6.317062,1.279935,0.193326
25013,2000,null,10.414419,0.047608,25.612045,4.808235,0.592797
25013,1996,null,null,0.050549,23.849704,7.250909,1.285274
25013,1984,null,null,0.057249,45.975862,11.922031,2.25645
25013,2012,13.762712,7.628926,0.044344,6.716788,2.900546,0.240656
25013,1992,null,null,0.040921,24.413582,9.044212,1.013655
25013,2008,17.0,10.809917,0.051962,28.878453,6.151515,0.402401
25013,1988,null,null,0.053882,25.304408,9.563548,1.695286
25013,2005,23.207547,12.642857,0.056961,17.134483,6.137769,0.394368
25013,1999,30.298246,9.913812,0.053828,33.466667,4.840385,0.686509
25013,1993,null,null,0.056913,41.84,16.309589,0.92692
25013,1991,null,null,0.042728,25.663631,21.416438,0.917747
25013,2011,14.627119,9.7575,0.048311,28.664804,4.392758,0.220681
25013,2007,18.813559,9.897521,0.048459,15.276456,3.128583,0.345369
25013,2009,16.155172,7.792623,0.043585,26.637883,5.876374,0.350306
25013,1990,null,null,0.050283,42.902235,20.887671,0.94523
25013,2019,null,4.662167,0.041929,11.13764,0.279044,0.328378
25013,2003,21.212766,13.004377,0.053848,33.730878,5.705958,0.622187
25013,2010,14.633333,7.729508,0.05161,14.291785,2.049737,0.234363
25013,2001,null,13.658,0.05786,22.891989,5.417391,0.649297
25013,2015,15.135593,6.215833,0.049284,15.852778,1.746761,0.214543
25013,1998,27.016949,null,0.046011,26.011331,11.6793,0.696629
25013,2006,19.438596,8.846667,0.053868,26.571031,8.554945,0.482973
25013,1997,null,null,0.044477,11.058789,4.923077,0.721414
25013,1995,null,null,0.046836,15.325105,13.071625,0.668932
25013,2021,null,6.636164,0.039955,10.786517,0.194886,null
25013,2013,13.736842,7.930328,0.048071,6.83484,1.466536,0.22336
25013,1981,null,null,0.05128,34.633978,9.980745,0.892029
25013,1982,null,null,0.045285,21.237108,7.272976,2.226132
25013,1983,null,null,0.064749,24.639285,10.401944,2.535319
25013,2002,null,13.442,0.055425,15.870324,10.790055,0.702248
25013,2018,12.0,6.906449,0.048171,12.607843,0.791284,0.335213
25013,1985,null,null,0.05292,24.085654,21.747253,0.76312
25013,2017,11.981481,7.009833,0.042296,5.338717,0.615592,0.18216
25013,2014,9.285714,6.42521,0.045377,13.347889,2.126062,0.180562
25013,1989,null,null,0.049921,47.344203,9.036843,1.640045
25013,1986,null,null,0.051892,21.823613,13.882899,2.127063
25013,1994,null,null,0.053668,29.18021,6.097816,1.491336
25013,1987,null,null,0.043647,41.259887,28.516484,1.829612
25013,2022,null,8.046099,null,19.912281,0.389286,null
25013,2023,null,null,null,null,null,null
29189,1980,null,null,0.061687,49.547009,34.184971,1.083513
29189,2020,null,7.505734,0.043433,18.741096,1.247772,null
29189,2004,null,12.250704,0.050687,12.659782,3.351093,0.587849
29189,2016,16.824434,8.795376,0.051561,11.85758,0.973558,null
29189,2000,null,14.452941,0.042565,17.305549,5.17899,0.513054
29189,1996,null,null,0.047921,34.808743,18.92623,0.723341
29189,1984,null,null,0.04889,37.247191,14.761798,1.237585
29189,2012,19.091549,10.815101,0.058266,null,null,null
29189,1992,null,null,0.055867,36.124294,8.255899,0.857833
29189,2008,null,12.008807,0.044047,10.074261,2.134426,0.258087
29189,1988,null,null,0.053383,42.645892,10.389058,0.910163
29189,2005,null,15.680272,0.058388,31.030303,2.909917,0.489707
29189,1999,null,14.538938,0.052262,34.805479,19.846575,0.628173
29189,1993,null,null,0.039671,40.272472,8.363202,0.876736
