fips,year,parameter_85101,parameter_88101,parameter_44201,parameter_42602,parameter_42401,parameter_42101,mortality_rate,cause_id
1073,1980,28.677419,8.115652,0.062878,12.16129,11.106227,1.14495,3.11044206943823,516
1073,1981,28.677419,8.115652,0.060707,12.16129,20.28483,1.353458,3.1138985323047,516
1073,1982,28.677419,8.115652,0.050467,12.16129,13.881356,2.065746,3.16345564784778,516
1073,1983,28.677419,8.115652,0.05497,12.16129,40.673077,2.216657,3.17443984437214,516
1073,1984,28.677419,8.115652,0.050019,12.16129,40.673077,1.192255,3.30863658136784,516
1073,1985,28.677419,8.115652,0.052218,12.16129,4.53434,1.097514,3.39792661394401,516
1073,1986,28.677419,8.115652,0.052897,12.16129,5.53454,1.135352,3.54976977137328,516
1073,1987,28.677419,8.115652,0.053194,12.16129,8.370892,1.107027,3.55938669529036,516
1073,1988,28.677419,8.115652,0.056022,12.16129,8.370892,1.211625,3.71278604022061,516
1073,1989,28.677419,8.115652,0.039815,12.16129,8.370892,0.949004,3.80123270585942,516
1073,1990,28.677419,8.115652,0.058302,12.16129,7.658351,0.826396,3.82000932248351,516
1073,1991,28.677419,8.115652,0.038719,12.16129,21.635616,0.757459,3.99060867266341,516
1073,1992,28.677419,8.115652,0.046335,12.16129,21.508197,1.413691,4.04585692354871,516
1073,1993,28.677419,8.115652,0.041829,12.16129,28.449315,0.915243,4.23077644895724,516
1073,1994,28.677419,8.115652,0.035113,12.16129,23.09863,0.931624,4.40035837642068,516
1073,1995,28.677419,8.115652,0.048553,12.16129,5.582967,1.218525,4.56232431648476,516
1073,1996,28.677419,8.115652,0.045894,12.16129,12.401639,0.716037,4.73618052691073,516
1073,1997,28.677419,8.115652,0.053724,12.16129,5.727684,1.126047,4.95121156438042,516
1073,1998,33.481894,8.115652,0.048363,12.16129,6.481451,1.072602,5.18268774902263,516
1073,1999,29.339623,23.485311,0.050604,12.16129,8.685596,1.213912,5.49759425315887,516
1073,2000,29.339623,20.738483,0.049722,12.16129,9.710756,1.396021,5.72656005198651,516
1073,2001,29.339623,17.964045,0.048322,12.16129,4.09895,1.29798,5.98772776581791,516
1073,2002,29.339623,16.570787,0.04649,12.16129,4.345055,0.269959,6.16877698142411,516
1073,2003,35.709677,15.639665,0.04711,12.16129,21.28,0.556773,6.37094523093883,516
1073,2004,36.056833,15.851105,0.048735,12.16129,10.473973,0.498177,6.40217281712459,516
1073,2005,35.271865,19.602216,0.054988,12.16129,3.119726,0.442467,6.3749740251251,516
1073,2006,32.019237,18.422527,0.049127,12.16129,2.572603,0.399977,6.61002549398711,516
1073,2007,33.932889,17.716618,0.051151,12.16129,2.92011,0.513728,6.64710845481783,516
1073,2008,30.716071,15.524309,0.045098,12.16129,2.734752,0.708999,6.6216708760795,516
1073,2009,21.191413,11.341111,0.04022,12.16129,1.183043,0.511624,6.77351302218298,516
1073,2010,26.779225,13.823743,0.052053,12.16129,1.699178,0.245156,6.86304782434498,516
1073,2011,22.595541,13.318487,0.053567,12.16129,8.433237,0.267261,6.92686518816967,516
1073,2012,19.739198,10.653039,0.050249,12.16129,5.383621,0.431751,6.80238916621544,516
1073,2013,19.681034,12.135574,0.045649,23.141935,1.073629,0.233864,6.96180912167347,516
1073,2014,20.455845,11.65957,0.047612,28.600838,1.616741,0.43275,6.92067810566307,516
1077,1980,18.546205,12.640365,0.042592,10.212486,37.669173,0.251713,2.99631022206291,516
1077,1981,18.546205,12.640365,0.042592,10.212486,37.19883,0.251713,2.99441665679217,516
1077,1982,18.546205,12.640365,0.042592,10.212486,6.897457,0.251713,3.02892754649226,516
1077,1983,18.546205,12.640365,0.042592,10.212486,5.618154,0.251713,3.10283869652485,516
1077,1984,18.546205,12.640365,0.042592,10.212486,28.112121,0.251713,3.16928707621482,516
1077,1985,18.546205,12.640365,0.042592,10.212486,4.974046,0.251713,3.27325142952669,516
1077,1986,18.546205,12.640365,0.042592,10.212486,5.056707,0.251713,3.35825094050924,516
1077,1987,18.546205,12.640365,0.042592,10.212486,23.269531,0.251713,3.50682244095041,516
1077,1988,18.546205,12.640365,0.042592,10.212486,26.307918,0.251713,3.61142106733597,516
1077,1989,18.546205,12.640365,0.042592,10.212486,5.553449,0.251713,3.73442482192652,516
1077,1990,18.546205,12.640365,0.042592,10.212486,19.350427,0.251713,3.78514346301039,516
1077,1991,18.546205,12.640365,0.042592,10.212486,3.815896,0.251713,3.93820745983908,516
1077,1992,18.546205,12.640365,0.042592,10.212486,3.072428,0.251713,4.03335350712728,516
1077,1993,18.546205,12.640365,0.042592,10.212486,3.072428,0.251713,4.21998617628986,516
1077,1994,18.546205,12.640365,0.042592,10.212486,3.072428,0.251713,4.36772159325975,516
1077,1995,18.546205,12.640365,0.042592,10.212486,3.072428,0.251713,4.57279311052077,516
1077,1996,18.546205,12.640365,0.042592,10.212486,3.072428,0.251713,4.68035222581585,516
1077,1997,18.546205,12.640365,0.042592,10.212486,3.072428,0.251713,4.8852736594261,516
1077,1998,18.546205,12.640365,0.042592,10.212486,3.072428,0.251713,5.10353804794686,516
1077,1999,18.546205,12.640365,0.042592,10.212486,3.072428,0.251713,5.39897254865217,516
1077,2000,18.546205,12.640365,0.042592,10.212486,3.072428,0.251713,5.70131248449748,516
1077,2001,18.546205,12.640365,0.042592,10.212486,3.072428,0.251713,5.83747388901744,516
1077,2002,18.546205,12.640365,0.042592,10.212486,3.072428,0.251713,6.05619780936,516
1077,2003,18.546205,12.640365,0.042592,10.212486,3.072428,0.251713,6.23593940770764,516
1077,2004,18.546205,12.640365,0.042592,10.212486,3.072428,0.251713,6.2319914358687,516
1077,2005,18.546205,12.640365,0.042592,10.212486,3.072428,0.251713,6.36138784613359,516
1077,2006,18.546205,12.640365,0.042592,10.212486,3.072428,0.251713,6.5015340651069,516
1077,2007,18.546205,12.640365,0.042592,10.212486,3.072428,0.251713,6.49170101894119,516
1077,2008,18.546205,12.640365,0.042592,10.212486,3.072428,0.251713,6.68270200548761,516
1077,2009,18.546205,12.640365,0.042592,10.212486,3.072428,0.251713,6.7586922150351,516
1077,2010,18.546205,12.640365,0.042592,10.212486,3.072428,0.251713,6.68778631867188,516
1077,2011,18.546205,12.640365,0.042592,10.212486,3.072428,0.251713,6.85852037413707,516
